単語,品詞,意味,用例,"単語
show,"名
動
",①(…に)～を見せる、～を示す　②～を案内する 《活用》showed-shown/showed,"an amazing show
①show her my picture　②I'll show you my town.
",,●
shut,動,～をしめる、(～を)閉じる　《活用》shut-shut,shut the door,●,
sing,動,歌う、～を歌う　《活用》sang-sung,sing a song,,
sink,"名
動",沈む　《活用》sank/sunk-sunk/sunken,"put the plate in the sink
The ship has sunk.",●,
sit,動,すわる　《活用》sat-sat,sit on a chair,,
sleep,"名
動",眠る、寝ている　《活用》slept-slept,"I had a good sleep last night.
sleep well",,●
speak,動,～を話す、話をする　《活用》spoke-spoken,speak Japanese,,
spend,"動
",(～を)費やす、(～を)かける、(～を)過ごす　《活用》spent-spent,spend a lot of money / spend a week,,
spread,"動
",①～を広げる、～を広める　②広がる、広まる　 《活用》spread-spread,①spread a cloth on the table　②The news spread quickly.,●,
stand,動,①立つ、立っている、建つ、ある　②～に耐える、～をがまんする　《活用》stood-stood,①stand by a door　②I can't stand this hot weather.,,●
stick,"名
動",くっつく　《活用》stuck-stuck,"It's a magic stick.
stick to each other",●,
swim,"名
動",泳ぐ　《活用》swam-swum,"She had a good swim.
swim in the sea",,●
take,"動




","①(～を)とる　②～を持っていく、～を連れて行く　③(時間が)かかる　④～に乗る　⑤～を飲む、服用する　
《活用》took-taken","①take a picture  ②I'll take him to the station.  ③It took half an hour to finish the job.  ④take a bus ⑤take a medicine

",,●
teach,動,(…に)(～を)教える  《活用》taught-taught,teach them how to use the computer,,
tell,"動
",(…に)～を言う、(…に)～を教える　《活用》told-told,"tell him to do his homework
",,●
think,"動

",(～と)思う、(～と)考える　《活用》thought-thought,"I think that animals are important.

",,●
throw,"動
",～を投げる  《活用》threw-thrown,"throw a ball to her
",,●
understand,動,～を理解する、(～と)わかる　《活用》understood-understood,understand Japanese,,
wake,"動

",①起きる、目が覚める　②～を起こす　《活用》woke-woken,"①I wake up at 6 a.m.  ②Don't wake the baby.

",,●
wear,動,～を身に付けている、～を着ている、～をはいている、～をかぶっている 《活用》wore-worn,She wears glasses.,,
win,"動
",①(～に)勝つ　②～を勝ち取る、～を受賞する  《活用》won-won,"①win a game　②win the first prize
",,●
write,"動
",①～を書く　②手紙を書く　《活用》wrote-written,"①write a letter　②I wrote to her yesterday. 
",,●
